Corr	Sim	NN
139.13	152.30	154.42
5.49	4.34	4.34
19.95	17.31	19.22
4.78	4.64	4.67
8.99	6.61	6.88
4.41	3.61	4.03
15.32	13.19	13.19
9.01	6.68	6.65
24.63	29.73	30.00
41.04	29.84	29.03
6.18	4.39	4.43
9.63	7.47	7.48
27.10	30.44	30.52
63.40	49.86	50.76
8.47	5.93	6.49
10.45	10.33	10.47
8.05	5.91	5.82
20.17	12.07	13.08
18.27	20.01	20.58
9.67	7.16	7.57
8.80	8.61	8.64
15.08	13.85	13.70
10.20	8.33	8.62
32.37	22.63	23.14
10.61	8.44	8.44
39.43	40.95	41.34
14.16	16.38	16.68
9.63	6.63	6.99
16.13	12.92	12.81
120.09	71.04	74.78
9.54	8.56	8.60
7.04	5.53	5.74
46.96	47.11	47.30
13.14	9.27	9.91
23.02	18.63	20.53
17.36	13.65	15.24
16.77	15.70	15.44
24.01	35.05	34.81
18.35	21.63	21.78
11.18	11.85	12.11
15.89	14.11	15.67
69.11	63.01	65.61
18.12	12.42	12.53
22.43	15.27	14.08
15.70	20.13	19.73
9.42	7.38	7.21
31.36	20.75	21.31
10.74	9.46	9.46
35.41	40.47	40.06
8.48	5.96	6.05
5.15	4.75	4.96
8.59	6.49	6.67
14.36	10.51	10.46
51.42	70.94	71.63
7.23	6.58	6.59
12.23	10.87	10.60
5.40	3.61	3.59
17.78	15.29	15.60
31.36	19.76	21.02
30.76	30.99	30.69
35.84	39.61	38.88
3.86	2.74	2.87
3.72	2.91	3.10
17.22	16.51	15.72
9.52	5.94	6.21
14.45	9.74	9.96
41.45	31.13	30.12
5.09	4.12	4.45
17.78	15.26	15.54
11.10	10.69	10.75
24.82	18.37	18.30
4.46	3.55	3.81
112.30	151.20	156.81
7.81	6.80	6.92
19.80	22.47	22.67
29.05	34.88	35.29
4.78	4.22	3.97
35.33	34.59	34.28
25.06	18.15	18.08
35.63	37.90	36.02
8.64	7.80	7.84
11.44	7.91	7.50
75.68	95.72	98.89
29.42	35.91	36.16
11.15	11.13	11.01
11.06	7.89	8.03
14.02	14.91	15.32
7.87	7.33	7.44
15.49	13.65	14.40
17.61	14.15	14.25
10.94	7.62	7.72
46.58	42.60	43.31
7.95	8.80	8.60
91.94	66.77	69.22
11.43	10.84	11.15
42.24	30.46	30.26
32.53	26.31	25.63
76.56	112.32	115.40
26.10	22.30	21.54
7.32	5.03	5.27
18.08	18.46	17.58
8.75	8.60	8.74
139.13	152.04	156.12
35.33	35.35	34.27
39.25	56.92	56.61
8.92	6.63	6.65
95.16	73.09	70.80
26.65	29.68	30.10
14.41	10.75	10.75
17.46	14.04	13.83
13.86	16.39	16.19
11.32	9.62	10.17
16.80	16.42	16.19
28.59	24.91	24.46
27.33	23.47	25.51
16.15	10.79	11.53
4.37	3.09	3.09
4.45	3.33	3.50
